Element,Wavelength,Z number,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,Multiplicity,Term,Parity,J,E lower,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,10s,Multiplicity,Term,Parity,J,E upper,T,w (A),d (A),
C,247.8561,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,21648.03,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,0,1,61984.83211,17600,0.0685,0.044,
Fe,382.782,26,2,2,6,2,6,7,1,0,0,0,0,0,0,0,0,3,F,1,3,12560.934,2,2,6,2,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,D,0,2,38678.039,12000,0.13,,
Mg,518.36043,12,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,3,P,0,2,21911.178,2,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,S,1,1,41197.403,49500,0.35,0.074,
Mg,517.26844,12,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,3,P,0,1,21870.464,2,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,S,1,1,41197.403,49500,0.353,0.084,
Mg,516.73213,12,2,2,6,1,1,0,0,0,0,0,0,0,0,0,0,3,P,0,0,21850.405,2,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,S,1,1,41197.403,49500,0.33,0.09,
Mn,403.0753,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,6,S,1,2.5,0,2,2,6,2,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P,0,3.5,24802.25,47000,0.224242424,,
Mn,403.3062,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,6,S,1,2.5,0,2,2,6,2,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P,0,2.5,24788.05,47000,0.242424242,,
Mn,403.4483,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,6,S,1,2.5,0,2,2,6,2,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P,0,1.5,24779.32,47000,0.181818182,,
Mn,279.4817,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,6,S,1,2.5,0,2,2,6,2,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P,0,3.5,35769.97,47000,0.060606061,,
Mn,279.8269,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,6,S,1,2.5,0,2,2,6,2,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P,0,2.5,35725.85,47000,0.045454545,,
Mn,280.1081,25,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,6,S,1,2.5,0,2,2,6,2,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,P,0,1.5,35689.98,47000,0.045454545,,
Mn,404.1355,25,2,2,6,2,6,6,1,0,0,0,0,0,0,0,0,6,D,1,4.5,17052.29,2,2,6,2,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,D,0,4.5,41789.48,47000,0.2,,
Mn,404.8743,25,2,2,6,2,6,6,1,0,0,0,0,0,0,0,0,6,D,1,2.5,17451.22,2,2,6,2,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,D,0,1.5,42143.57,47000,0.224242424,,
Mn,405.5544,25,2,2,6,2,6,6,1,0,0,0,0,0,0,0,0,6,D,1,3.5,17282,2,2,6,2,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,D,0,3.5,41932.64,47000,0.187878788,,
